views,money0,0
883,4
728,2
192,1
19,0
4654,5
4854,27
684,2
4341,15
814,2
7513,9
3881,23
1229,2
6239,4
5535,28
10559,10
9532,47
15742,43
401,0
4968,29
8401,23
20615,104
21635,67
17577,17
19935,22
12077,9
4161,17
12948,70
11132,10
28456,36
29244,130
26911,106
2809,8
26955,27
30231,163
20004,105
23615,124
2087,2
25124,136
21670,33
2086,8
1592,8
11576,6
16291,25
7644,22
31840,91
3288,17
240,1
39102,206
27789,83
32297,16
44342,128
29830,178
31980,130
17093,98
29683,92
2238,2
36072,67
4272,5
53943,248
13298,24
8722,13
31765,186
53120,32
43565,135
45646,193
18407,97
40371,208
66228,107
20451,66
32457,93
7141,35
70386,70
37071,45
69586,155
7754,40
75269,310
53557,28
35404,70
65407,348
52162,250
10497,40
18252,63
45570,191
22297,82
30152,142
42084,132
85407,279
4740,2
14060,26
47899,152
60709,299
49653,108
84733,162
62705,168
26078,56
14461,82
9461,6
72450,56
54110,254
45416,141
12367,73
52583,119
53904,296
44683,172
53611,156
40863,97
90724,229
27899,39
94154,311
103223,221
11144,48
23561,40
8014,40
1843,4
81412,147
43106,27
14325,26
57934,295
4074,4
31916,41
44031,254
51664,275
60919,243
16929,29
111244,413
84203,304
55361,277
117044,216
101971,154
13843,43
9688,9
87456,47
92340,324
32402,31
42720,156
81962,65
73402,383
34100,177
58358,193
80470,379
64006,234
55601,307
136950,558
40587,82
137955,270
33081,108
140170,835
15205,77
19675,115
143310,675
50836,29
43107,230
56160,103
75320,440
91072,342
24605,76
126680,110
13466,54
120921,539
126905,474
138701,438
25847,133
20277,79
134002,502
62608,77
79609,448
34811,178
33659,123
67478,248
4541,6
100249,287
15381,47
67501,225
30614,171
65413,75
1380,3
27213,102
57826,100
159300,544
96619,557
109573,258
141541,131
139609,258
56260,294
179396,507
86576,487
101830,471
70884,134
117014,88
179443,735
27920,87
178309,516
150858,498
72096,408
169328,579
163697,620
116511,502
147945,265
107939,121
56243,230
67576,221
74013,54
84826,484
22894,99
203061,1170
199124,633
134635,467
23618,29
8087,29
20025,114
149103,747
488,2
179111,1061
42118,205
22681,132
143342,549
135995,332
95928,80
31123,140
7400,12
168597,452
201849,196
23783,94
2834,6
217279,851
187052,697
186888,747
154246,247
222395,472
78506,81
51379,85
164293,405
168977,955
178802,627
123065,251
233242,813
87284,151
14721,35
